Loan_ID,Customer_ID,Loan_Type,Loan_Amount,EMI,Interest_Rate,Tenure_Months,Debt_to_Income,Income_Stability,Fraud_Score,Credit_Score,Approval,Default,NPA
LOAN_00000017,CUST_00000019,Home Loan,4057465.63,32863.43,8.57,300,3.6276,0.856,0.334,637,0,0,0
LOAN_00000018,CUST_00000019,Personal Loan,912852.59,30573.27,12.58,36,5.5043,0.921,0.334,637,0,0,0
LOAN_00000019,CUST_00000020,Two Wheeler Loan,551511.33,18426.26,12.41,36,0.918,0.962,0.198,640,0,0,0
LOAN_00000020,CUST_00000022,Personal Loan,227192.58,7511.37,11.68,36,0.3489,0.798,0.197,629,1,0,0
LOAN_00000021,CUST_00000022,Auto Loan,431296.22,38372.63,12.26,12,2.1313,0.851,0.197,629,0,0,0
LOAN_00000022,CUST_00000024,Business Loan,590089.09,10460.92,12.14,84,0.2209,0.646,0.218,642,1,1,0
LOAN_00000023,CUST_00000024,Business Loan,1302892.77,115066.76,10.86,12,2.6503,0.932,0.218,642,0,0,0
LOAN_00000024,CUST_00000025,Auto Loan,259865.93,5540.58,10.15,60,0.3035,0.707,0.323,619,0,0,0
LOAN_00000025,CUST_00000025,Auto Loan,109617.01,2336.6,10.14,60,0.4314,0.844,0.323,619,0,0,0
LOAN_00000026,CUST_00000026,Personal Loan,359129.71,9969.38,14.86,48,0.054,0.808,0.217,745,1,0,0
LOAN_00000027,CUST_00000027,Personal Loan,281790.16,25551.06,15.88,12,1.6676,0.87,0.227,641,0,0,0
LOAN_00000028,CUST_00000028,Auto Loan,1035783.62,91196.78,10.28,12,2.4114,0.578,0.235,642,0,0,0
LOAN_00000029,CUST_00000030,Gold Loan,1838242.34,39949.51,10.98,60,0.8643,0.835,0.26,657,0,0,0
LOAN_00000030,CUST_00000030,Personal Loan,415842.84,9965.05,15.33,60,1.0799,0.807,0.26,657,0,0,0
LOAN_00000031,CUST_00000030,Auto Loan,1183116.22,25073.74,9.89,60,1.6224,0.921,0.26,657,0,0,0
LOAN_00000032,CUST_00000031,Two Wheeler Loan,783033.19,25513.31,10.67,36,0.277,0.77,0.261,683,1,0,0
LOAN_00000033,CUST_00000032,Two Wheeler Loan,1334931.47,118800.72,12.31,12,7.6444,0.793,0.307,644,0,0,0
LOAN_00000034,CUST_00000034,Personal Loan,492318.12,23623.66,13.94,24,1.2838,0.963,0.23,618,0,0,0
LOAN_00000035,CUST_00000035,Home Loan,2580014.36,23014.32,8.88,240,0.1489,0.648,0.289,759,1,0,0
LOAN_00000036,CUST_00000035,Home Loan,6095398.53,77312.93,9.03,120,0.6491,0.583,0.289,759,0,0,0
LOAN_00000037,CUST_00000036,Personal Loan,74083.21,6715.67,15.83,12,0.0128,0.725,0.285,748,1,0,0
LOAN_00000038,CUST_00000038,Two Wheeler Loan,1354375.02,29191.38,10.62,60,1.8168,0.803,0.205,636,0,0,0
LOAN_00000039,CUST_00000039,Two Wheeler Loan,127347.63,2703.26,9.96,60,0.0328,0.732,0.23,718,1,0,0
LOAN_00000040,CUST_00000040,Personal Loan,462159.07,15636.6,13.29,36,0.0796,0.741,0.195,765,1,0,0
LOAN_00000041,CUST_00000041,Business Loan,1351517.9,43704.92,10.15,36,0.8976,0.877,0.176,669,0,0,0
LOAN_00000042,CUST_00000042,Auto Loan,837522.86,18659.87,12.07,60,0.4664,0.986,0.2,677,0,0,0
LOAN_00000043,CUST_00000042,Gold Loan,1820166.22,160258.66,10.28,12,4.4717,0.738,0.2,677,0,0,0
LOAN_00000044,CUST_00000042,Personal Loan,823745.06,18645.89,12.77,60,4.9378,0.892,0.2,677,0,0,0
LOAN_00000045,CUST_00000043,Two Wheeler Loan,635865.69,20580.35,10.21,36,0.8694,0.773,0.293,638,0,0,0
LOAN_00000046,CUST_00000044,Two Wheeler Loan,747526.73,25266.41,13.22,36,0.5622,0.634,0.331,639,0,0,0
LOAN_00000047,CUST_00000046,Home Loan,8524888.46,69335.46,8.62,300,0.466,0.667,0.28,692,1,1,1
LOAN_00000048,CUST_00000046,Gold Loan,1906153.58,33435.13,11.79,84,0.6906,0.439,0.28,692,0,0,0
LOAN_00000049,CUST_00000047,Two Wheeler Loan,1604000.18,53782.8,12.66,36,1.8814,0.898,0.278,626,0,0,0
LOAN_00000050,CUST_00000048,Business Loan,766738.52,16279.61,9.97,60,0.0502,0.882,0.305,772,1,0,0
LOAN_00000051,CUST_00000049,Personal Loan,830767.06,74858.25,14.68,12,1.6795,0.9,0.47,609,0,0,0
LOAN_00000052,CUST_00000050,Home Loan,2209756.09,28244.01,9.21,120,0.1762,0.366,0.268,732,1,0,0
LOAN_00000053,CUST_00000050,Personal Loan,495227.61,16389.57,11.75,36,0.2785,0.785,0.268,732,1,0,0
LOAN_00000054,CUST_00000052,Personal Loan,965061.41,31846.82,11.55,36,0.4864,0.676,0.255,699,1,0,0
LOAN_00000055,CUST_00000052,Gold Loan,1093885.9,97200.67,12.02,12,1.9711,0.509,0.255,699,0,0,0
LOAN_00000056,CUST_00000053,Personal Loan,316915.03,7669.76,15.78,60,0.1643,0.661,0.205,641,1,0,0
LOAN_00000057,CUST_00000053,Home Loan,4503493.94,40403.32,8.96,240,1.0297,0.566,0.205,641,0,0,0
LOAN_00000058,CUST_00000055,Two Wheeler Loan,1904619.84,34030.53,12.4,84,2.0001,0.417,0.223,629,0,0,0
LOAN_00000059,CUST_00000055,Personal Loan,75048.63,2020.45,13.19,48,2.1188,0.924,0.223,629,0,0,0
LOAN_00000060,CUST_00000056,Two Wheeler Loan,990517.0,17043.51,11.16,84,0.4092,0.8,0.318,646,0,0,0
LOAN_00000061,CUST_00000056,Gold Loan,1993609.99,65950.08,11.72,36,1.9925,0.681,0.318,646,0,0,0
LOAN_00000062,CUST_00000057,Auto Loan,534421.33,17798.97,12.19,36,0.2861,0.467,0.214,665,1,0,0
LOAN_00000063,CUST_00000057,Two Wheeler Loan,1088310.65,36622.33,12.91,36,0.8749,0.726,0.214,665,0,0,0
LOAN_00000064,CUST_00000057,Personal Loan,77343.54,1835.94,14.9,60,0.9044,0.786,0.214,665,0,0,0
LOAN_00000065,CUST_00000059,Auto Loan,845263.69,18483.64,11.25,60,0.5733,0.684,0.213,652,0,0,0
LOAN_00000066,CUST_00000060,Auto Loan,1738491.05,31910.8,13.3,84,0.2321,0.665,0.221,765,1,0,0
LOAN_00000067,CUST_00000062,Personal Loan,122070.16,3219.37,12.08,48,0.0061,0.914,0.233,784,1,0,0
LOAN_00000068,CUST_00000063,Auto Loan,427407.76,13845.49,10.27,36,0.5575,0.821,0.211,652,0,0,0
LOAN_00000069,CUST_00000064,Personal Loan,396056.37,9168.38,13.77,60,0.2936,0.788,0.272,615,0,0,0
LOAN_00000070,CUST_00000066,Business Loan,216048.12,19055.41,10.61,12,0.1342,0.746,0.317,721,1,0,0
LOAN_00000071,CUST_00000066,Home Loan,6755165.56,84406.1,8.68,120,0.7285,0.897,0.317,721,0,0,0
LOAN_00000072,CUST_00000067,Business Loan,1072187.14,35422.78,11.63,36,0.1788,0.899,0.265,717,1,0,0
LOAN_00000073,CUST_00000068,Personal Loan,355975.21,16831.89,12.45,24,0.5702,0.795,0.281,643,0,0,0
LOAN_00000074,CUST_00000069,Two Wheeler Loan,1047040.18,17301.06,9.85,84,0.4128,0.816,0.237,680,1,0,0
LOAN_00000075,CUST_00000071,Auto Loan,1184478.78,104642.0,10.92,12,2.4896,0.786,0.226,665,0,0,0
LOAN_00000076,CUST_00000078,Personal Loan,548285.82,14804.56,13.35,48,0.8177,0.832,0.238,631,0,0,0
LOAN_00000077,CUST_00000078,Personal Loan,212343.21,4997.18,14.51,60,1.0937,0.709,0.238,631,0,0,0
LOAN_00000078,CUST_00000079,Personal Loan,357495.27,8209.34,13.41,60,0.5013,0.655,0.195,656,0,0,0
LOAN_00000079,CUST_00000079,Personal Loan,602176.31,20055.56,12.19,36,1.726,0.981,0.195,656,0,0,0
LOAN_00000080,CUST_00000082,Personal Loan,819380.72,73050.37,12.65,12,0.5763,0.776,0.226,747,0,0,0
LOAN_00000081,CUST_00000082,Home Loan,4465380.27,57561.12,9.41,120,1.0305,0.884,0.226,747,0,0,0
LOAN_00000082,CUST_00000082,Personal Loan,754064.62,17580.97,14.09,60,1.1692,0.778,0.226,747,0,0,0
LOAN_00000083,CUST_00000085,Auto Loan,1093824.31,23749.67,10.94,60,1.2201,0.651,0.194,668,0,0,0
LOAN_00000084,CUST_00000085,Home Loan,5432778.18,47456.83,8.59,240,3.6581,0.578,0.194,668,0,0,0
LOAN_00000085,CUST_00000086,Home Loan,9205012.94,82879.1,9.01,240,0.0291,0.494,0.258,748,1,0,0
LOAN_00000086,CUST_00000087,Business Loan,1598334.7,51656.35,10.11,36,2.4519,0.838,0.398,606,0,0,0
LOAN_00000087,CUST_00000088,Two Wheeler Loan,1765854.71,155962.11,10.87,12,5.392,0.901,0.307,636,0,0,0
LOAN_00000088,CUST_00000089,Two Wheeler Loan,1318180.5,29509.05,12.28,60,0.0534,0.615,0.084,830,1,0,0
LOAN_00000089,CUST_00000090,Home Loan,5427049.33,56441.58,9.43,180,2.4034,0.926,0.255,637,0,0,0
LOAN_00000090,CUST_00000092,Business Loan,1173753.05,104445.84,12.29,12,1.1842,0.759,0.263,716,0,0,0
LOAN_00000091,CUST_00000092,Auto Loan,905848.28,20356.69,12.45,60,1.4151,0.746,0.263,716,0,0,0
LOAN_00000092,CUST_00000094,Business Loan,1085792.31,35996.46,11.87,36,0.2643,0.778,0.169,771,1,1,1
LOAN_00000093,CUST_00000094,Home Loan,6067862.62,62996.49,9.4,180,0.727,0.887,0.169,771,0,0,0
LOAN_00000094,CUST_00000096,Personal Loan,217567.64,10419.35,13.74,24,0.334,0.859,0.177,653,1,0,0
LOAN_00000095,CUST_00000098,Personal Loan,963016.8,21504.6,12.17,60,0.1504,0.767,0.211,758,1,0,0
LOAN_00000096,CUST_00000100,Personal Loan,903151.57,20282.32,12.42,60,0.2934,0.963,0.209,678,1,0,0
LOAN_00000097,CUST_00000101,Home Loan,4906486.02,40940.12,8.93,300,1.042,0.825,0.191,655,0,0,0
LOAN_00000098,CUST_00000102,Personal Loan,661799.57,59215.75,13.34,12,1.8998,0.706,0.176,641,0,0,0
LOAN_00000099,CUST_00000104,Personal Loan,148903.15,5169.07,15.1,36,0.1732,0.926,0.241,643,1,0,0
LOAN_00000100,CUST_00000105,Business Loan,1677417.74,148323.39,11.09,12,2.159,0.621,0.225,698,0,0,0
LOAN_00000101,CUST_00000111,Home Loan,9087709.54,116401.89,9.26,120,2.762,0.828,0.191,651,0,0,0
LOAN_00000102,CUST_00000113,Home Loan,6192401.04,50994.6,8.77,300,1.273,0.824,0.214,637,0,0,0
LOAN_00000103,CUST_00000114,Home Loan,9103693.93,93639.98,9.24,180,2.1778,0.784,0.185,637,0,0,0
LOAN_00000104,CUST_00000114,Auto Loan,589986.6,19053.83,10.06,36,2.621,0.682,0.185,637,0,0,0
LOAN_00000105,CUST_00000115,Personal Loan,597690.65,15954.56,12.73,48,0.0914,0.827,0.285,754,1,1,1
LOAN_00000106,CUST_00000115,Business Loan,1760391.15,58377.73,11.89,36,0.4259,0.781,0.285,754,1,0,0
LOAN_00000107,CUST_00000116,Home Loan,1899210.72,15190.71,8.42,300,0.6819,0.75,0.231,625,0,0,0
LOAN_00000108,CUST_00000117,Personal Loan,387889.08,9175.0,14.74,60,0.0906,0.968,0.308,671,0,0,0
LOAN_00000109,CUST_00000118,Two Wheeler Loan,508386.72,16313.66,9.62,36,0.539,0.957,0.242,662,0,0,0
LOAN_00000110,CUST_00000118,Auto Loan,735063.39,16567.34,12.58,60,1.0865,0.56,0.242,662,0,0,0
LOAN_00000111,CUST_00000118,Personal Loan,828147.2,23089.96,15.1,48,1.8494,0.571,0.242,662,0,0,0
LOAN_00000112,CUST_00000120,Personal Loan,952725.49,32335.62,13.51,36,0.7312,0.938,0.252,670,0,0,0
LOAN_00000113,CUST_00000120,Two Wheeler Loan,1351688.4,24056.61,12.27,84,1.2752,0.679,0.252,670,0,0,0
LOAN_00000114,CUST_00000121,Business Loan,174910.94,3117.67,12.32,84,0.0886,0.83,0.298,635,1,0,0
LOAN_00000115,CUST_00000121,Business Loan,1945010.67,173978.67,13.28,12,5.0343,0.865,0.298,635,0,0,0
LOAN_00000116,CUST_00000121,Two Wheeler Loan,170314.51,5647.94,11.89,36,5.1948,0.812,0.298,635,0,0,0
LOAN_00000117,CUST_00000123,Personal Loan,349525.82,31371.4,13.93,12,1.1042,0.6,0.342,605,0,0,0
LOAN_00000118,CUST_00000124,Personal Loan,73180.74,6619.68,15.42,12,0.2313,0.834,0.265,628,1,0,0
LOAN_00000119,CUST_00000125,Home Loan,5578942.77,56651.75,9.02,180,1.1855,0.563,0.267,660,0,0,0
LOAN_00000120,CUST_00000125,Personal Loan,154950.41,3533.54,13.1,60,1.2594,0.872,0.267,660,0,0,0
LOAN_00000121,CUST_00000127,Home Loan,4766776.5,60590.08,9.08,120,2.005,0.872,0.206,636,0,0,0
LOAN_00000122,CUST_00000127,Auto Loan,417364.5,37367.99,13.46,12,3.2416,0.681,0.206,636,0,0,0
LOAN_00000123,CUST_00000127,Personal Loan,259461.9,23094.16,12.34,12,4.0058,0.581,0.206,636,0,0,0
LOAN_00000124,CUST_00000128,Business Loan,1990324.86,175166.37,10.2,12,9.6217,0.914,0.214,638,0,0,0
LOAN_00000125,CUST_00000128,Two Wheeler Loan,526437.09,46380.18,10.4,12,12.1693,0.822,0.214,638,0,0,0
LOAN_00000126,CUST_00000129,Personal Loan,173039.18,15659.08,15.5,12,0.3438,0.7,0.273,641,1,0,0
LOAN_00000127,CUST_00000129,Home Loan,3707907.16,37917.5,9.14,180,1.1761,0.74,0.273,641,0,0,0
LOAN_00000128,CUST_00000131,Home Loan,5584985.91,46754.32,8.97,300,1.3405,0.616,0.195,654,0,0,0
LOAN_00000129,CUST_00000131,Personal Loan,884698.49,42933.9,15.09,24,2.5715,0.805,0.195,654,0,0,0
LOAN_00000130,CUST_00000132,Auto Loan,1392267.47,46223.26,11.97,36,0.0924,0.684,0.263,774,1,1,0
LOAN_00000131,CUST_00000132,Personal Loan,368362.91,8734.35,14.85,60,0.1098,0.864,0.263,774,1,1,1
LOAN_00000132,CUST_00000133,Gold Loan,1300445.7,21953.51,10.54,84,1.1422,0.573,0.265,635,0,0,0
LOAN_00000133,CUST_00000134,Home Loan,9685432.03,78905.6,8.64,300,2.3288,0.813,0.286,626,0,0,0
LOAN_00000134,CUST_00000134,Auto Loan,228890.41,3883.15,10.7,84,2.4434,0.752,0.286,626,0,0,0
LOAN_00000135,CUST_00000135,Personal Loan,877959.97,79608.21,15.88,12,1.7514,0.877,0.241,629,0,0,0
LOAN_00000136,CUST_00000137,Two Wheeler Loan,1398261.22,24147.99,11.28,84,0.8118,0.843,0.263,621,0,0,0
LOAN_00000137,CUST_00000138,Auto Loan,619193.1,11365.57,13.3,84,0.6899,0.766,0.22,630,0,0,0
LOAN_00000138,CUST_00000139,Home Loan,3830829.22,33416.58,9.48,300,0.6926,0.824,0.206,665,0,0,0
LOAN_00000139,CUST_00000141,Home Loan,8847045.12,111210.61,8.82,120,4.8199,0.789,0.236,655,0,0,0
LOAN_00000140,CUST_00000142,Two Wheeler Loan,1545945.58,137355.39,12.0,12,2.8078,0.612,0.283,665,0,0,0
LOAN_00000141,CUST_00000142,Personal Loan,168926.5,15214.36,14.59,12,3.1189,0.832,0.283,665,0,0,0
LOAN_00000142,CUST_00000143,Personal Loan,807681.15,27175.08,12.9,36,1.333,0.759,0.241,642,0,0,0
LOAN_00000143,CUST_00000145,Business Loan,1581716.88,50785.44,9.66,36,0.2963,0.616,0.299,722,1,0,0
LOAN_00000144,CUST_00000146,Auto Loan,1434683.44,47474.06,11.74,36,0.3817,0.744,0.251,683,1,0,0
LOAN_00000145,CUST_00000149,Personal Loan,589163.81,16277.66,14.6,48,0.3937,0.706,0.236,652,1,0,0
LOAN_00000146,CUST_00000150,Personal Loan,939401.63,24613.7,11.73,48,0.6,0.671,0.245,624,0,0,0
LOAN_00000147,CUST_00000151,Personal Loan,824083.86,27316.31,11.86,36,0.5536,0.658,0.162,659,0,0,0
LOAN_00000148,CUST_00000151,Auto Loan,1100165.06,19674.82,12.43,84,0.9524,0.916,0.162,659,0,0,0
LOAN_00000149,CUST_00000152,Home Loan,6220590.18,79238.13,9.13,120,0.604,0.901,0.296,711,0,0,0
LOAN_00000150,CUST_00000156,Business Loan,1481621.23,131966.24,12.47,12,2.6446,0.954,0.287,642,0,0,0
LOAN_00000151,CUST_00000157,Auto Loan,933369.3,83103.49,12.4,12,2.1409,0.859,0.231,629,0,0,0
LOAN_00000152,CUST_00000157,Personal Loan,612732.81,55480.75,15.61,12,3.5702,0.94,0.231,629,0,0,0
LOAN_00000153,CUST_00000159,Business Loan,441397.91,14336.11,10.45,36,0.891,0.642,0.534,587,0,0,0
LOAN_00000154,CUST_00000160,Home Loan,4553483.64,38119.17,8.97,300,0.8396,0.906,0.234,640,0,0,0
LOAN_00000155,CUST_00000161,Personal Loan,784799.47,20701.48,12.09,48,0.4383,0.735,0.258,654,0,0,0
LOAN_00000156,CUST_00000163,Personal Loan,837439.2,22649.71,13.44,48,0.7322,0.951,0.215,630,0,0,0
LOAN_00000157,CUST_00000166,Auto Loan,1001798.66,33696.68,12.88,36,1.2356,0.658,0.222,616,0,0,0
LOAN_00000158,CUST_00000170,Business Loan,174752.73,15362.73,9.99,12,0.8978,0.848,0.236,632,0,0,0
LOAN_00000159,CUST_00000173,Gold Loan,109385.96,2506.26,13.31,60,0.0803,0.812,0.277,638,1,0,0
LOAN_00000160,CUST_00000173,Auto Loan,365337.38,5993.54,9.62,84,0.2725,0.939,0.277,638,1,0,0
LOAN_00000161,CUST_00000173,Personal Loan,688972.01,23380.46,13.5,36,1.0221,0.759,0.277,638,0,0,0
LOAN_00000162,CUST_00000174,Auto Loan,1044632.05,18423.86,11.97,84,0.0191,0.678,0.335,749,1,0,0
LOAN_00000163,CUST_00000174,Auto Loan,509782.79,16966.19,12.14,36,0.0366,0.953,0.335,749,1,0,0
LOAN_00000164,CUST_00000174,Personal Loan,978315.48,46662.69,13.33,24,0.0849,0.768,0.335,749,1,0,0
LOAN_00000165,CUST_00000175,Personal Loan,684213.72,33220.76,15.14,24,0.0711,0.768,0.491,701,1,1,1
LOAN_00000166,CUST_00000178,Home Loan,7411471.26,92726.14,8.71,120,3.2322,0.723,0.165,645,0,0,0
LOAN_00000167,CUST_00000180,Auto Loan,1277031.66,27989.19,11.35,60,1.1807,0.882,0.245,661,0,0,0
LOAN_00000168,CUST_00000183,Home Loan,6431465.14,81088.7,8.89,120,1.7005,0.813,0.213,633,0,0,0
LOAN_00000169,CUST_00000184,Personal Loan,235989.09,6160.18,11.53,48,0.1275,0.811,0.202,675,1,0,0
LOAN_00000170,CUST_00000184,Business Loan,768083.11,24751.44,9.91,36,0.6398,0.673,0.202,675,0,0,0
LOAN_00000171,CUST_00000184,Two Wheeler Loan,1124406.43,99245.83,10.75,12,2.694,0.798,0.202,675,0,0,0
LOAN_00000172,CUST_00000187,Personal Loan,548905.21,49463.0,14.69,12,1.5266,0.907,0.284,641,0,0,0
LOAN_00000173,CUST_00000188,Two Wheeler Loan,1145430.43,100525.82,9.67,12,4.4582,0.811,0.323,607,0,0,0
LOAN_00000174,CUST_00000189,Personal Loan,251442.6,22605.89,14.25,12,0.0227,0.885,0.299,769,1,0,0
LOAN_00000175,CUST_00000189,Two Wheeler Loan,622131.47,20899.2,12.79,36,0.0438,0.939,0.299,769,1,0,0
LOAN_00000176,CUST_00000190,Personal Loan,750030.06,67831.01,15.38,12,0.6132,0.805,0.243,711,0,0,0
LOAN_00000177,CUST_00000191,Home Loan,3471550.32,34614.41,8.71,180,0.5088,0.455,0.298,701,1,0,0
LOAN_00000178,CUST_00000192,Home Loan,7599581.01,96680.05,9.1,120,3.1487,0.875,0.231,653,0,0,0
LOAN_00000179,CUST_00000195,Personal Loan,357202.98,31824.01,12.52,12,0.1504,0.787,0.523,714,0,0,0
LOAN_00000180,CUST_00000195,Two Wheeler Loan,544052.96,9505.38,11.66,84,0.1954,0.716,0.523,714,0,0,0
LOAN_00000181,CUST_00000197,Gold Loan,1357494.46,30011.82,11.73,60,0.2293,0.544,0.293,723,1,0,0
LOAN_00000182,CUST_00000199,Personal Loan,559036.3,26300.12,11.94,24,0.052,0.9,0.274,753,1,0,0
LOAN_00000183,CUST_00000200,Personal Loan,429350.12,14299.56,12.19,36,0.0783,0.847,0.258,752,1,0,0
LOAN_00000184,CUST_00000200,Two Wheeler Loan,342655.62,11512.44,12.8,36,0.1413,0.728,0.258,752,1,0,0
LOAN_00000185,CUST_00000201,Personal Loan,940109.93,25685.18,13.99,48,1.1028,0.933,0.296,619,0,0,0
LOAN_00000186,CUST_00000202,Business Loan,1044230.62,24011.45,13.47,60,0.6519,0.71,0.155,649,0,0,0
LOAN_00000187,CUST_00000203,Home Loan,8962781.72,82552.43,9.33,240,5.2158,0.763,0.303,625,0,0,0
LOAN_00000188,CUST_00000203,Home Loan,2974958.38,37846.71,9.1,120,7.607,0.803,0.303,625,0,0,0
LOAN_00000189,CUST_00000205,Business Loan,1025417.65,18063.06,11.93,84,0.3635,0.677,0.296,607,0,0,0
LOAN_00000190,CUST_00000205,Personal Loan,399157.7,8840.77,11.81,60,0.5414,0.736,0.296,607,0,0,0
LOAN_00000191,CUST_00000207,Home Loan,2398149.82,30417.7,9.03,120,0.7072,0.942,0.335,632,0,0,0
LOAN_00000192,CUST_00000209,Home Loan,1994392.26,20813.9,9.49,180,0.429,0.848,0.312,607,0,0,0
LOAN_00000193,CUST_00000209,Personal Loan,165315.69,3749.6,12.86,60,0.5063,0.884,0.312,607,0,0,0
LOAN_00000194,CUST_00000210,Two Wheeler Loan,1268916.93,41380.65,10.73,36,0.4052,0.545,0.447,661,0,0,0
LOAN_00000195,CUST_00000210,Business Loan,954590.83,20414.0,10.28,60,0.605,0.941,0.447,661,0,0,0
LOAN_00000196,CUST_00000210,Two Wheeler Loan,120959.4,10699.62,11.16,12,0.7098,0.776,0.447,661,0,0,0
LOAN_00000197,CUST_00000212,Personal Loan,61514.74,2060.55,12.59,36,0.0469,0.724,0.303,627,0,0,0
LOAN_00000198,CUST_00000213,Two Wheeler Loan,286356.9,9436.1,11.45,36,0.1974,0.879,0.229,647,1,0,0
LOAN_00000199,CUST_00000214,Home Loan,8172640.62,75434.13,9.36,240,0.1465,0.944,0.259,769,1,0,0
LOAN_00000200,CUST_00000216,Home Loan,6916212.55,87836.4,9.06,120,2.2337,0.717,0.201,668,0,0,0
LOAN_00000201,CUST_00000216,Home Loan,2776436.51,25266.73,9.16,240,2.8762,0.878,0.201,668,0,0,0
LOAN_00000202,CUST_00000217,Personal Loan,117693.89,10432.2,11.55,12,0.0205,0.843,0.244,786,1,0,0
LOAN_00000203,CUST_00000221,Two Wheeler Loan,603588.21,12700.09,9.58,60,0.3229,0.917,0.213,643,1,0,0
LOAN_00000204,CUST_00000223,Two Wheeler Loan,1323418.08,117348.96,11.62,12,3.5086,0.618,0.187,638,0,0,0
LOAN_00000205,CUST_00000224,Two Wheeler Loan,1642362.6,54651.97,12.13,36,1.2431,0.878,0.255,671,0,0,0
LOAN_00000206,CUST_00000225,Home Loan,5234942.41,47100.14,9.0,240,1.1319,0.821,0.385,598,0,0,0
LOAN_00000207,CUST_00000227,Business Loan,1708377.24,57710.21,13.18,36,2.8496,0.917,0.228,651,0,0,0
LOAN_00000208,CUST_00000227,Two Wheeler Loan,1575250.15,35136.17,12.12,60,4.5846,0.936,0.228,651,0,0,0
LOAN_00000209,CUST_00000231,Two Wheeler Loan,505671.6,11126.11,11.52,60,0.6192,0.742,0.226,630,0,0,0
LOAN_00000210,CUST_00000232,Personal Loan,586770.89,16211.54,14.6,48,0.1574,0.708,0.514,643,0,0,0
LOAN_00000211,CUST_00000233,Personal Loan,284344.92,25633.64,14.77,12,0.6726,0.9,0.24,641,0,0,0
LOAN_00000212,CUST_00000234,Auto Loan,457247.0,7809.96,10.92,84,0.0543,0.631,0.202,721,1,0,0
LOAN_00000213,CUST_00000235,Personal Loan,960169.81,85831.84,13.16,12,5.2119,0.799,0.336,610,0,0,0
LOAN_00000214,CUST_00000236,Home Loan,5313190.36,48283.59,9.14,240,1.1724,0.695,0.189,640,0,0,0
LOAN_00000215,CUST_00000236,Auto Loan,106114.7,3523.51,11.98,36,1.258,0.908,0.189,640,0,0,0
LOAN_00000216,CUST_00000236,Home Loan,6959766.97,59432.9,8.28,240,2.7011,0.663,0.189,640,0,0,0
LOAN_00000217,CUST_00000237,Two Wheeler Loan,612659.37,11078.97,12.8,84,0.3678,0.742,0.158,647,1,0,0
LOAN_00000218,CUST_00000238,Two Wheeler Loan,1082811.21,18688.72,11.26,84,0.1272,0.88,0.243,735,1,0,0
LOAN_00000219,CUST_00000239,Two Wheeler Loan,1996860.27,178569.67,13.23,12,1.4996,0.447,0.256,735,0,0,0
LOAN_00000220,CUST_00000241,Two Wheeler Loan,829282.61,73599.31,11.79,12,1.6567,0.645,0.211,643,0,0,0
LOAN_00000221,CUST_00000244,Personal Loan,542174.83,25735.25,12.84,24,1.1925,0.872,0.235,656,0,0,0
LOAN_00000222,CUST_00000244,Two Wheeler Loan,970555.08,85974.06,11.43,12,5.1763,0.561,0.235,656,0,0,0
LOAN_00000223,CUST_00000245,Personal Loan,629713.89,14042.67,12.11,60,0.3417,0.699,0.276,632,1,1,1
