transaction_frequency,average_transaction_amount,median_transaction_amount,largest_deposit,largest_withdrawal,average_balance,minimum_balance,maximum_balance,balance_variance,active_month_count,transaction_consistency,average_monthly_income,median_income,income_variance,income_consistency,average_monthly_expense,monthly_savings,monthly_transaction_count,cash_flow_stability,expense_stability,total_income,total_expense,essential_expense,discretionary_expense,atm_withdrawals,emi_payments,utility_payments,investment_amount,atm_ratio,emi_ratio,food_ratio,groceries_ratio,investment_ratio,others_ratio,salary_ratio,shopping_ratio,travel_ratio,utilities_ratio,expense_ratio,savings_ratio,essential_expense_ratio,discretionary_expense_ratio,atm_cash_ratio,financial_buffer,cash_reserve_ratio,Gender,Age,Education,Employment_Type,Annual_Income,Monthly_Income,Account_Type,Customer_Segment,Savings_Balance,Credit_Card_Holder,Device_Age_Years,OS,Rooted,SIM_Age_Years,Phone_Vintage_Years,KYC_Status,Face_Match_Score,OCR_Match_Score,Liveness_Score,Address_Match_Score,kyc_verified,total_loans,total_loan_amount,total_monthly_emi,avg_interest_rate,max_debt_to_income,avg_credit_score,approved_loan_count,income_stability_index,net_disposable_income,dti_ratio,device_risk_index,biometric_identity_score
95,9289.72560168421,3474.09,132316.45,53104.38,35423.40894736842,150.66,202750.84,2012354405.4779088,12,0.3245337339017909,28927.696666666667,8653.115,2197981916.3673697,0.3919059431733567,44615.96434666667,-15688.26768,7.916666666666667,0.2123988197415991,0.567337809543063,347132.36000000004,535391.57216,160833.35216,245763.16,128795.06,37430.29216000001,105624.14,61364.759999999995,0.2405623597704112,0.069911993588151,0.0946734178042912,0.0332073213783926,0.1767762590615291,0.0,0.0,0.1954125269060716,0.054331878782931,0.1972839048882797,1.5423268869545896,-0.5423268869545899,0.3004032198548234,0.4590344203747654,0.2405623597704112,0.0033768181906675,0.7939626424328305,Male,26,Doctorate,Salaried - Private,1659716.74,138309.73,Savings,Affluent,200131.96,1,0.3,Android 13,0,0.9,2.3,VERIFIED,0.93,0.95,0.83,0.91,1,1.0,3275503.15,40927.56,8.68,0.2959,730.0,1.0,0.4620786897212392,52766.20565333334,0.2959123700118566,1.25,0.912
100,5122.4113512,1602.545,119916.05,33607.83,16575.3913,45.29,120248.68,523154589.13312274,12,0.2737819202947369,20019.491666666665,3193.36,1252877366.8662157,0.371371624779468,22667.269593333334,-2647.777926666668,8.333333333333334,0.0618508548714082,0.5077774524168337,240233.9,272007.23512,143877.70512,96837.22,31292.31,6714.205120000002,114059.85,14823.65,0.1150421972643299,0.0246839210620185,0.0530574489815798,0.0849376303898956,0.0617050715989708,0.0,0.0,0.1351846026587412,0.113270406158158,0.4193265298611665,1.132259997943671,-0.1322599979436708,0.5289480813130806,0.3560097214225894,0.1150421972643298,0.0019980350881484,0.7312478122585608,Female,43,Master's,Salaried - Private,573771.14,47814.26,Savings,Mass Market,40680.92,0,1.0,iOS 17,0,7.6,2.6,VERIFIED,0.97,0.9,0.83,0.95,1,2.0,470241.33,10822.71,13.505,0.2263,657.0,2.0,0.4259339558344143,14324.280406666663,0.2263490013230362,0.4545454545454545,0.917
93,8493.604516129031,2703.64,146069.59,43111.42,26776.160967741936,823.74,151032.03,881147221.3614609,12,0.2800911286515958,33848.57750000001,7036.200000000001,2923934337.3749294,0.3953423155441181,31976.8575,1871.7200000000012,7.75,0.0301048299508782,0.5090857394486373,406182.93,383722.29,104310.29,185048.51,94363.49,0.0,91711.0,40720.57,0.2459161025021507,0.0,0.1845226921792841,0.0328343969801702,0.1002518003403048,0.0,0.0,0.0824163746130046,0.1091869591417272,0.2390035773006566,0.9447031415131107,0.0552968584868891,0.2718379742808269,0.4822459232170224,0.2459161025021507,0.0257605050777738,0.8373606120533243,Male,41,Diploma,Salaried - Private,388642.08,32386.84,Savings,Mass Market,74108.34,0,1.0,iOS 17,1,9.2,1.7,VERIFIED,0.96,0.97,0.83,0.82,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.4408396851059257,409.98249999999825,0.0,0.9545454545454546,0.909
91,6607.582857142857,1247.09,115512.43,28332.59,18934.64263736264,528.29,117323.6,614990223.7392218,12,0.2602908763809853,28127.875,3028.3,2242746387.6270275,0.3828601424442047,21979.62833333333,6148.246666666666,7.583333333333333,0.1208466637806738,0.4365562012387109,337534.5,263755.54,105461.28,114234.17,44060.09,0.0,58165.600000000006,23226.21,0.1670489651136806,0.0,0.1163547882254909,0.179316347250943,0.0688113659492585,0.0,0.0,0.0797897932305042,0.1489020477067515,0.2205284484261449,0.7814180180100108,0.2185819819899891,0.3998447956770879,0.4331062392092314,0.1670489651136806,0.0240354382698463,0.8614632763670166,Male,34,Bachelor's,Salaried - Govt,260772.62,21731.05,Savings,Mass Market,35867.35,0,2.3,Android 13,0,7.4,6.4,VERIFIED,0.92,0.89,0.85,0.97,1,1.0,1736648.94,17121.83,8.52,0.7879,611.0,0.0,0.4043385659620072,-17370.40833333333,0.7878970413302626,0.2083333333333333,0.907
100,5314.6441,1311.995,113839.65,37507.54,16453.680800000002,394.19,120045.91,576436427.8196336,12,0.2623734426444739,22696.088333333333,2967.75,1599000110.0477607,0.3721919962040093,21592.6125,1103.4758333333327,8.333333333333334,0.0251628057491621,0.467544160274107,272353.06,259111.35,60881.0,160980.69,37249.66,0.0,41293.75,17955.11,0.1437592756936351,0.0,0.3775604194876063,0.0755939483160424,0.0659258610863413,0.0,0.0,0.0993826013410836,0.0750419848455113,0.159366812762158,0.9513803516655918,0.0486196483344082,0.2349607610782005,0.6212799632281643,0.1437592756936351,0.018255780767612,0.7620050978083361,Male,26,Master's,Self-Employed Business,230885.29,19240.44,Current,Mass Market,8234.82,0,0.6,Android 14,0,5.7,1.0,VERIFIED,0.95,0.9,0.88,0.89,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.4103328618320484,-2352.1725000000006,0.0,0.7142857142857143,0.909
91,6892.9231868131865,1072.68,138750.89,30347.82,18728.195494505493,712.78,142798.13,1005473422.0364854,12,0.2411154905667537,31880.825,4243.91,2954439226.0263186,0.3798958565946501,20390.509166666667,11490.315833333334,7.583333333333333,0.158249885577665,0.4274097677351972,382569.9,244686.11,140114.56,56152.58,48418.97,0.0,51988.02,12476.77,0.1978819721315607,0.0,0.1049465374229865,0.3601615964224533,0.0326130466615381,0.0,0.0,0.0453635476079945,0.0281872150405268,0.2124682108028118,0.6395853672753659,0.3604146327246341,0.5726298072252651,0.2294882206431742,0.1978819721315607,0.034956459114087,0.9184761077531778,Male,47,Bachelor's,Self-Employed Business,357119.3,29759.94,Savings,Mass Market,4914.34,0,2.1,Android 14,0,6.3,3.6,VERIFIED,0.95,0.91,0.85,0.76,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.3989014210508689,9369.430833333332,0.0,0.2272727272727272,0.8800000000000001
98,17573.670612244896,4108.82,129293.33,186328.2,92579.8162244898,1879.32,791674.08,22503707775.75998,12,0.3360704290297495,33962.18583333333,3851.88,2867289473.842717,0.3984857811964669,109556.12416666666,-75593.93833333334,8.166666666666666,0.2663275978903215,0.361853007028526,407546.23,1314673.49,421030.3,730682.85,162960.34,0.0,114179.28,37379.35,0.123954990527724,0.0,0.259709709366696,0.2334047368674027,0.0917180610405842,0.0,0.0,0.2038773672997695,0.0637708607024547,0.0868499143464131,3.2258266503900677,-2.2258266503900677,0.3202546512138158,0.55579035825846,0.1239549905277241,0.0171539474793851,0.8450446465562165,Male,21,Bachelor's,Salaried - Private,6535909.84,544659.15,Salary,HNI,978002.28,1,0.5,Android 13,0,4.1,1.0,VERIFIED,0.91,0.9,0.93,0.82,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.3838326715292905,435103.0258333334,0.0,0.8333333333333334,0.8930000000000001
90,4159.870222222222,822.675,99527.12,22567.0,16240.027666666669,396.87,100260.45,557774369.553418,12,0.2437054598507304,15604.370833333334,1205.19,1118694852.8080993,0.3276488793740008,15594.655833333332,9.714999999999728,7.5,0.0005551167925769,0.4648344905142327,187252.45,187135.87,45257.34,96401.27,45477.259999999995,0.0,26344.11,18152.85,0.2430173328074409,0.0,0.2536379583454524,0.1010668344876906,0.0969431908634573,0.0,0.0,0.1550084438648774,0.0094905375436574,0.1407753094048725,0.9993774180257722,0.0006225819742278,0.2418421438925632,0.5151405232999959,0.2430173328074409,0.0254491028363509,1.0413841664882313,Female,52,Bachelor's,Salaried - Private,404092.86,33674.4,Savings,Mass Market,2017.59,1,0.3,Android 12,0,7.8,0.7,VERIFIED,0.89,0.9,0.93,0.75,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.3825231238300935,18079.74416666667,0.0,1.25,0.8730000000000001
99,6254.0296969696965,2290.42,122260.75,30700.16,20688.1898989899,2469.07,127808.32,595089081.8459848,12,0.2958653004268137,24267.7525,6602.15,1551262451.112966,0.3915701654377633,27327.992499999997,-3060.2400000000016,8.25,0.0556642445373599,0.500057910996359,291213.02999999997,327935.91,72163.43000000001,225812.09,29960.39,0.0,32182.750000000004,49183.33000000001,0.0913605039472499,0.0,0.1205103460612166,0.1219161390407046,0.1688912408898737,0.0,0.0,0.315950150137568,0.102147062820903,0.0981373159163935,1.1261031486125466,-0.1261031486125467,0.2200534549570982,0.6885860410956519,0.0913605039472499,0.0903494832267683,0.7570329177670077,Male,20,Bachelor's,Salaried - Govt,578338.57,48194.88,Salary,Mass Market,63499.88,1,1.0,Android 12,0,6.7,1.2,VERIFIED,0.91,0.96,0.89,0.9,1,1.0,899085.48,30676.24,13.88,0.6365,687.0,0.0,0.4349652636612016,-9809.3525,0.6365041265794209,0.4545454545454545,0.919
92,4633.827608695652,1100.125,109645.81,22476.25,13465.806413043478,297.96,111110.06,341341360.1305419,12,0.2619212486221848,18386.730833333335,2617.2200000000003,1089489062.7871356,0.367828777067033,17139.280833333334,1247.4499999999996,7.666666666666667,0.0329873800840277,0.5120002715535029,220640.77,205671.37,57768.22,124436.13,23467.019999999997,0.0,47292.2,6778.99,0.1140995949022948,0.0,0.1651783133452167,0.0509357233337824,0.0307241041626169,0.0,0.0,0.2787324750158469,0.1281529850265499,0.229940608651559,0.9321548778133796,0.0678451221866203,0.2808763319853414,0.6050240731123637,0.1140995949022948,0.0173846267470285,0.7856692788914749,Female,27,High School,Self-Employed Business,553763.62,46146.97,Savings,Mass Market,74413.28,1,0.7,Android 13,1,3.2,0.9,VERIFIED,0.93,0.94,0.83,0.76,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.425497374861621,29007.689166666667,0.0,1.125,0.879
93,5426.84494623656,2293.01,99522.79,32044.51,16445.622150537634,764.88,104095.33,391565049.3309541,12,0.2879121956510359,22408.950833333336,8939.585,1092415423.9825175,0.4145802685983829,19649.0975,2759.853333333335,7.75,0.0735647494838799,0.5714605204906589,268907.41000000003,235789.17,74607.35,119246.1,41935.72,0.0,43132.780000000006,15943.36,0.1778526129932091,0.0,0.0818143174260293,0.1334860714764804,0.0592894037393763,0.0,0.0,0.2857823792331089,0.0705181667164781,0.1829294364961715,0.8768414749151017,0.1231585250848982,0.316415507972652,0.5057318790341389,0.1778526129932091,0.0389269787072917,0.8369657766998019,Female,38,Diploma,Salaried - Private,292053.71,24337.81,Salary,Mass Market,38932.58,0,5.4,Android 14,0,2.0,6.1,VERIFIED,0.86,0.98,0.91,0.89,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.4773323693552933,4688.7125000000015,0.0,0.0909090909090909,0.912
93,8090.549333333333,2690.49,87741.95,60476.2,37954.90376344086,324.65,301007.59,2666501225.078115,12,0.3465531753717412,20069.490833333333,3912.465,1048208285.0426809,0.3930135237917829,42632.266500000005,-22562.77566666667,7.75,0.2509695277057941,0.4524993308319504,240833.89,511587.198,204056.72800000003,210727.97,96802.5,7998.968000000028,88238.00000000001,128999.97,0.1892199421299827,0.0156355906310228,0.0465142014753856,0.2107553911073435,0.5356387757553557,0.0,0.0,0.0355241883906563,0.0777154122609612,0.1724789055413384,2.12423259035512,-1.12423259035512,0.3988698872797048,0.4119101705903125,0.1892199421299827,0.007615124098551,0.89028585340263,Male,21,High School,Salaried - Govt,988477.85,82373.15,Savings,Affluent,299156.19,1,5.7,Android 14,0,6.4,6.3,VERIFIED,0.86,0.88,0.97,0.94,1,1.0,127347.63,2703.26,9.96,0.0328,718.0,1.0,0.4168078466078499,37037.62349999999,0.032817246882024,0.0862068965517241,0.904
97,9643.835901030929,3318.65,72702.06,120839.27,42506.52773195876,748.35,366487.52,3202041931.2878094,12,0.3486481051947661,23811.663333333338,5500.385,1213203535.0392244,0.4165902501336719,54142.67686666667,-30331.013533333335,8.083333333333334,0.2468369059724136,0.4000141339368923,285739.96,649712.1224,300288.81240000005,311983.83999999997,37439.47,21621.60240000005,85316.06999999998,91207.50999999998,0.057624705941611,0.0332787424684813,0.1595686557563913,0.2975950937867248,0.3191976019034928,0.0,0.0,0.0867936399150061,0.0934440930172799,0.1313136496281572,2.2737881058008127,-1.2737881058008127,0.4621874858833634,0.4801878081750256,0.057624705941611,0.0138218138316823,0.7850836011790953,Male,66,Diploma,Salaried - Private,2214798.47,184566.54,Salary,Affluent,404834.57,0,5.0,Android 13,0,0.2,5.8,VERIFIED,0.94,0.88,0.85,0.88,1,1.0,359129.71,9969.38,14.86,0.054,745.0,1.0,0.4099598036549601,120454.48313333334,0.0540150993782513,0.0980392156862745,0.8920000000000001
92,7694.317391304347,3216.295,102398.24,79466.77,34274.10391304348,327.94,232651.41,1933423052.290239,12,0.3261758846727544,20602.989166666663,3745.55,1151900962.140354,0.3880315592510031,38386.7775,-17783.788333333334,7.666666666666667,0.2401313148374806,0.48279147472878,247235.87,460641.33,119380.49,323967.14,17293.7,0.0,76291.04000000001,172163.96,0.0375426581891815,0.0,0.1823503765934333,0.093542301121786,0.6963551041359816,0.0,0.0,0.0954340332423059,0.0517630495726469,0.1656191814138779,1.8631654460171985,-0.8631654460171981,0.2591614825356639,0.7032958592751545,0.0375426581891815,0.0085430458443665,0.8928622339565616,Male,34,Diploma,Unemployed,2327237.96,193936.5,Savings,Affluent,245141.62,0,0.5,Android 13,0,3.8,1.1,VERIFIED,0.86,1.0,0.95,0.82,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.4259355254421139,155549.7225,0.0,0.8333333333333334,0.912
91,5439.626813186813,1835.95,115338.09,39679.19,16714.494835164835,1276.38,116737.13,339692624.6869229,12,0.2781917151064216,21463.854166666668,7554.965,1239665046.7032447,0.3890337420258221,19786.649166666662,1677.2050000000006,7.583333333333333,0.0678852853147814,0.4731791423767757,257566.25,237439.79,116823.11,108192.89,12423.79,0.0,39817.48,12091.98,0.0523239596867904,0.0,0.1318949532426725,0.3243164509200416,0.0469470670167384,0.0,0.0,0.1438675884947506,0.128975476267057,0.1676950607141288,0.9218590945048118,0.0781409054951881,0.4920115116341705,0.455664528679039,0.0523239596867904,0.0645071325239969,0.8447359982165501,Male,35,Diploma,Salaried - Private,206162.56,17180.21,Current,Mass Market,39187.82,0,2.4,Android 14,0,7.0,3.1,VERIFIED,0.86,0.89,0.93,0.77,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.4226919021662035,-2606.439166666667,0.0,0.2,0.8650000000000001
91,4232.277912087912,925.88,90325.56,18048.63,13661.744725274726,336.97,94621.35,389138029.53454745,12,0.2656670626281909,17658.524999999998,3314.7,835514088.4059364,0.3895408553224651,14436.249166666668,3222.275833333333,7.583333333333333,0.116479878206774,0.430521188566431,211902.3,173234.99,33002.14,104583.56,35649.29,0.0,15464.63,17934.85,0.205785736472753,0.0,0.217647485649406,0.1012353797578653,0.0846373541013948,0.0,0.0,0.1800805368476657,0.1024521662742613,0.0892696677501467,0.8175229339181311,0.1824770660818688,0.1905050475080121,0.6037092160192349,0.205785736472753,0.0233419357140263,0.946350022609732,Male,25,High School,Salaried - Govt,397566.45,33130.54,Savings,Mass Market,2544.81,0,2.1,Android 10,0,6.9,6.4,VERIFIED,0.91,0.92,0.83,0.82,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.4059329886200514,18694.290833333333,0.0,0.2272727272727272,0.8790000000000001
93,18211.17297376344,2657.7,91247.56,419634.19,80590.97903225807,529.21,882645.12,29382846052.358788,12,0.2565679663223594,18025.65166666667,2379.6850000000004,871788769.3907605,0.3893806002400082,123110.93888000002,-105085.28721333336,7.75,0.2833142900608113,0.3239860408763585,216307.82,1477331.26656,214136.38656000013,1139840.65,123354.23000000004,22577.10656000014,134400.69,489878.2900000001,0.0834980161810513,0.0152823588527788,0.1261937415256271,0.0386904354451896,2.264727599769625,0.0,0.0,0.0215827558258106,0.2921805892628951,0.0909753235731313,6.8297635589873735,-5.8297635589873735,0.1449481178710998,0.7715538659478487,0.0834980161810513,0.0042986431978708,0.6546207815928733,Male,27,Bachelor's,Salaried - Private,4370655.37,364221.28,Salary,HNI,1302279.31,0,1.5,Android 14,0,6.0,3.1,VERIFIED,0.98,0.98,0.93,0.86,1,1.0,822798.01,27565.06,12.6,0.0757,779.0,1.0,0.3632227764945483,213545.28112,0.0756821787019143,0.3125,0.946
