Fraud_Record_ID,Customer_ID,Transaction_ID,Fraud_Type,Fraud_Score,Device_Risk,Geo_Risk,Velocity_Risk,AML_Risk,Final_Label
FRD_00000020,CUST_00000752,TXN_0000071266,None,0.164,0.274,0.029,0.24,0.013,0
FRD_00000021,CUST_00000442,TXN_0000041897,None,0.168,0.172,0.0,0.426,0.005,0
FRD_00000022,CUST_00000438,TXN_0000041489,None,0.16,0.16,0.369,0.063,0.071,0
FRD_00000023,CUST_00000966,TXN_0000091522,None,0.232,0.35,0.129,0.335,0.0,0
FRD_00000024,CUST_00000349,TXN_0000033004,None,0.139,0.199,0.003,0.249,0.034,0
FRD_00000025,CUST_00000516,TXN_0000048899,None,0.13,0.193,0.001,0.223,0.03,0
FRD_00000026,CUST_00000067,TXN_0000006302,None,0.135,0.376,0.008,0.004,0.005,0
FRD_00000027,CUST_00000487,TXN_0000046132,None,0.156,0.248,0.002,0.275,0.001,0
FRD_00000028,CUST_00000701,TXN_0000066364,None,0.223,0.231,0.339,0.172,0.156,0
FRD_00000029,CUST_00000916,TXN_0000086759,None,0.116,0.241,0.02,0.108,0.003,0
FRD_00000030,CUST_00000012,TXN_0000001127,None,0.175,0.106,0.001,0.487,0.078,0
FRD_00000031,CUST_00000706,TXN_0000066858,None,0.177,0.135,0.001,0.511,0.009,0
FRD_00000032,CUST_00000641,TXN_0000060766,None,0.141,0.28,0.021,0.157,0.0,0
FRD_00000033,CUST_00000893,TXN_0000084570,None,0.15,0.277,0.016,0.179,0.024,0
FRD_00000034,CUST_00000405,TXN_0000038289,None,0.146,0.285,0.0,0.186,0.001,0
FRD_00000035,CUST_00000021,TXN_0000001939,None,0.182,0.162,0.42,0.164,0.0,0
FRD_00000036,CUST_00000466,TXN_0000044175,None,0.283,0.364,0.0,0.568,0.067,0
FRD_00000037,CUST_00000345,TXN_0000032623,None,0.162,0.151,0.001,0.435,0.003,0
FRD_00000038,CUST_00000994,TXN_0000094104,None,0.126,0.212,0.002,0.187,0.024,0
FRD_00000039,CUST_00000468,TXN_0000044302,None,0.062,0.046,0.203,0.003,0.021,0
FRD_00000040,CUST_00000940,TXN_0000089016,None,0.271,0.251,0.035,0.701,0.004,0
FRD_00000041,CUST_00000733,TXN_0000069406,None,0.062,0.048,0.003,0.165,0.017,0
FRD_00000042,CUST_00000706,TXN_0000066881,None,0.108,0.092,0.008,0.186,0.137,0
FRD_00000043,CUST_00000912,TXN_0000086355,None,0.14,0.358,0.001,0.042,0.02,0
FRD_00000044,CUST_00000009,TXN_0000000789,None,0.127,0.057,0.309,0.181,0.002,0
FRD_00000045,CUST_00000879,TXN_0000083200,None,0.055,0.063,0.005,0.109,0.026,0
FRD_00000046,CUST_00000916,TXN_0000086773,None,0.239,0.133,0.048,0.731,0.0,0
FRD_00000047,CUST_00000641,TXN_0000060702,None,0.196,0.098,0.006,0.638,0.007,0
FRD_00000048,CUST_00000887,TXN_0000084010,None,0.142,0.151,0.293,0.115,0.008,0
FRD_00000049,CUST_00000700,TXN_0000066327,None,0.056,0.129,0.018,0.029,0.0,0
FRD_00000050,CUST_00000163,TXN_0000015481,None,0.199,0.282,0.033,0.375,0.001,0
FRD_00000051,CUST_00000555,TXN_0000052589,None,0.193,0.274,0.005,0.368,0.022,0
FRD_00000052,CUST_00000395,TXN_0000037432,None,0.106,0.172,0.03,0.139,0.025,0
FRD_00000053,CUST_00000560,TXN_0000052999,None,0.153,0.179,0.072,0.207,0.123,0
FRD_00000054,CUST_00000987,TXN_0000093508,None,0.164,0.104,0.196,0.352,0.0,0
FRD_00000055,CUST_00000564,TXN_0000053360,None,0.273,0.279,0.148,0.576,0.008,0
FRD_00000056,CUST_00000119,TXN_0000011308,None,0.216,0.145,0.147,0.521,0.027,0
FRD_00000057,CUST_00000367,TXN_0000034757,None,0.253,0.373,0.513,0.076,0.003,0
FRD_00000058,CUST_00000146,TXN_0000013805,None,0.163,0.145,0.354,0.158,0.011,0
FRD_00000059,CUST_00000408,TXN_0000038652,None,0.286,0.244,0.0,0.749,0.068,0
FRD_00000060,CUST_00000003,TXN_0000000271,None,0.08,0.09,0.139,0.081,0.002,0
FRD_00000061,CUST_00000756,TXN_0000071618,None,0.07,0.14,0.06,0.036,0.0,0
FRD_00000062,CUST_00000305,TXN_0000028926,None,0.139,0.07,0.187,0.205,0.128,0
FRD_00000063,CUST_00000466,TXN_0000044128,None,0.052,0.064,0.005,0.112,0.005,0
FRD_00000064,CUST_00000832,TXN_0000078802,None,0.101,0.208,0.037,0.04,0.056,0
FRD_00000065,CUST_00000711,TXN_0000067329,None,0.117,0.156,0.078,0.183,0.005,0
FRD_00000066,CUST_00000637,TXN_0000060359,None,0.155,0.291,0.003,0.104,0.131,0
FRD_00000067,CUST_00000191,TXN_0000018140,None,0.094,0.142,0.005,0.17,0.004,0
FRD_00000068,CUST_00000606,TXN_0000057415,None,0.193,0.31,0.267,0.102,0.029,0
FRD_00000069,CUST_00000863,TXN_0000081767,None,0.112,0.047,0.158,0.17,0.109,0
FRD_00000070,CUST_00000076,TXN_0000007209,None,0.185,0.251,0.265,0.149,0.033,0
FRD_00000071,CUST_00000782,TXN_0000074106,None,0.095,0.143,0.009,0.171,0.0,0
FRD_00000072,CUST_00000589,TXN_0000055757,None,0.234,0.308,0.237,0.314,0.0,0
FRD_00000073,CUST_00000171,TXN_0000016246,None,0.124,0.2,0.0,0.195,0.026,0
FRD_00000074,CUST_00000837,TXN_0000079330,None,0.205,0.302,0.14,0.255,0.036,0
FRD_00000075,CUST_00000740,TXN_0000070117,None,0.162,0.138,0.019,0.216,0.278,0
FRD_00000076,CUST_00000313,TXN_0000029634,None,0.224,0.307,0.113,0.362,0.015,0
FRD_00000077,CUST_00000019,TXN_0000001743,None,0.065,0.091,0.089,0.059,0.001,0
FRD_00000078,CUST_00000294,TXN_0000027780,None,0.242,0.164,0.01,0.723,0.008,0
FRD_00000079,CUST_00000836,TXN_0000079241,None,0.13,0.258,0.002,0.143,0.018,0
FRD_00000080,CUST_00000271,TXN_0000025579,None,0.199,0.206,0.257,0.27,0.038,0
FRD_00000081,CUST_00000260,TXN_0000024613,None,0.193,0.18,0.119,0.424,0.003,0
FRD_00000082,CUST_00000902,TXN_0000085426,None,0.2,0.243,0.146,0.183,0.198,0
FRD_00000083,CUST_00000523,TXN_0000049517,None,0.162,0.185,0.018,0.281,0.115,0
FRD_00000084,CUST_00000587,TXN_0000055575,None,0.147,0.064,0.062,0.278,0.211,0
FRD_00000085,CUST_00000035,TXN_0000003242,None,0.117,0.132,0.07,0.226,0.002,0
FRD_00000086,CUST_00000477,TXN_0000045197,None,0.093,0.066,0.099,0.128,0.093,0
FRD_00000087,CUST_00000194,TXN_0000018388,None,0.086,0.046,0.311,0.018,0.015,0
FRD_00000088,CUST_00000325,TXN_0000030771,None,0.08,0.194,0.02,0.026,0.01,0
FRD_00000089,CUST_00000049,TXN_0000004614,UPI Phishing / Collect Request Fraud,0.359,0.967,0.0,0.05,0.038,1
FRD_00000090,CUST_00000899,TXN_0000085128,None,0.034,0.084,0.0,0.017,0.001,0
FRD_00000091,CUST_00000851,TXN_0000080611,None,0.221,0.269,0.0,0.444,0.081,0
FRD_00000092,CUST_00000536,TXN_0000050745,None,0.089,0.215,0.038,0.024,0.001,0
FRD_00000093,CUST_00000415,TXN_0000039272,None,0.208,0.172,0.048,0.551,0.0,0
FRD_00000094,CUST_00000533,TXN_0000050471,None,0.104,0.252,0.026,0.01,0.039,0
FRD_00000095,CUST_00000678,TXN_0000064272,None,0.139,0.289,0.009,0.02,0.157,0
FRD_00000096,CUST_00000484,TXN_0000045883,None,0.137,0.2,0.047,0.23,0.003,0
FRD_00000097,CUST_00000437,TXN_0000041399,None,0.205,0.215,0.011,0.507,0.002,0
FRD_00000098,CUST_00000820,TXN_0000077646,Account Takeover (ATO),0.395,0.856,0.103,0.297,0.001,1
FRD_00000099,CUST_00000329,TXN_0000031192,None,0.139,0.278,0.0,0.168,0.0,0
FRD_00000100,CUST_00000118,TXN_0000011173,None,0.092,0.196,0.04,0.005,0.07,0
FRD_00000101,CUST_00000452,TXN_0000042776,None,0.174,0.238,0.167,0.197,0.041,0
FRD_00000102,CUST_00000404,TXN_0000038215,None,0.148,0.277,0.01,0.198,0.0,0
FRD_00000103,CUST_00000567,TXN_0000053723,None,0.181,0.336,0.073,0.159,0.043,0
FRD_00000104,CUST_00000908,TXN_0000086015,None,0.149,0.142,0.025,0.364,0.019,0
FRD_00000105,CUST_00000893,TXN_0000084625,None,0.144,0.255,0.054,0.175,0.003,0
FRD_00000106,CUST_00000214,TXN_0000020218,None,0.209,0.271,0.362,0.003,0.203,0
FRD_00000107,CUST_00000451,TXN_0000042672,None,0.091,0.165,0.016,0.118,0.002,0
FRD_00000108,CUST_00000109,TXN_0000010341,None,0.17,0.132,0.121,0.376,0.03,0
FRD_00000109,CUST_00000063,TXN_0000005983,None,0.179,0.339,0.023,0.221,0.001,0
FRD_00000110,CUST_00000210,TXN_0000019892,UPI Phishing / Collect Request Fraud,0.372,0.95,0.003,0.156,0.001,1
FRD_00000111,CUST_00000901,TXN_0000085364,None,0.09,0.238,0.012,0.013,0.006,0
FRD_00000112,CUST_00000179,TXN_0000016997,None,0.045,0.056,0.078,0.03,0.009,0
FRD_00000113,CUST_00000727,TXN_0000068824,None,0.151,0.146,0.01,0.366,0.034,0
FRD_00000114,CUST_00000970,TXN_0000091836,None,0.113,0.131,0.03,0.226,0.023,0
FRD_00000115,CUST_00000896,TXN_0000084878,None,0.333,0.289,0.444,0.458,0.144,0
FRD_00000116,CUST_00000196,TXN_0000018578,None,0.19,0.165,0.139,0.133,0.355,0
FRD_00000117,CUST_00000792,TXN_0000075084,Card Not Present (CNP) Fraud,0.466,0.91,0.029,0.565,0.001,1
FRD_00000118,CUST_00000056,TXN_0000005310,None,0.271,0.339,0.164,0.097,0.478,0
FRD_00000119,CUST_00000477,TXN_0000045184,None,0.131,0.171,0.197,0.126,0.0,0
FRD_00000120,CUST_00000911,TXN_0000086296,None,0.14,0.161,0.085,0.243,0.029,0
FRD_00000121,CUST_00000756,TXN_0000071666,None,0.179,0.062,0.023,0.588,0.028,0
FRD_00000122,CUST_00000708,TXN_0000067034,None,0.089,0.174,0.017,0.1,0.0,0
FRD_00000123,CUST_00000901,TXN_0000085361,None,0.112,0.054,0.26,0.064,0.127,0
FRD_00000124,CUST_00000280,TXN_0000026447,None,0.114,0.246,0.002,0.105,0.004,0
FRD_00000125,CUST_00000233,TXN_0000022035,None,0.234,0.367,0.198,0.18,0.103,0
FRD_00000126,CUST_00000746,TXN_0000070713,None,0.122,0.255,0.001,0.129,0.0,0
FRD_00000127,CUST_00000141,TXN_0000013362,None,0.226,0.029,0.561,0.415,0.001,0
FRD_00000128,CUST_00000175,TXN_0000016585,Card Not Present (CNP) Fraud,0.328,0.89,0.0,0.066,0.001,1
FRD_00000129,CUST_00000282,TXN_0000026702,None,0.138,0.244,0.001,0.138,0.091,0
FRD_00000130,CUST_00000915,TXN_0000086651,None,0.163,0.266,0.025,0.226,0.044,0
FRD_00000131,CUST_00000267,TXN_0000025272,None,0.226,0.344,0.324,0.145,0.024,0
FRD_00000132,CUST_00000308,TXN_0000029192,None,0.136,0.238,0.054,0.159,0.01,0
FRD_00000133,CUST_00000021,TXN_0000001967,None,0.136,0.277,0.006,0.091,0.073,0
FRD_00000134,CUST_00000909,TXN_0000086098,None,0.11,0.144,0.221,0.062,0.0,0
FRD_00000135,CUST_00000900,TXN_0000085240,None,0.135,0.304,0.037,0.085,0.0,0
FRD_00000136,CUST_00000019,TXN_0000001739,None,0.145,0.223,0.089,0.134,0.078,0
FRD_00000137,CUST_00000847,TXN_0000080271,UPI Phishing / Collect Request Fraud,0.33,0.859,0.016,0.102,0.004,1
FRD_00000138,CUST_00000526,TXN_0000049847,None,0.238,0.39,0.092,0.322,0.011,0
FRD_00000139,CUST_00000163,TXN_0000015394,None,0.215,0.109,0.0,0.699,0.012,0
FRD_00000140,CUST_00000433,TXN_0000040989,None,0.088,0.192,0.003,0.08,0.0,0
FRD_00000141,CUST_00000971,TXN_0000091963,None,0.146,0.289,0.001,0.111,0.084,0
FRD_00000142,CUST_00000280,TXN_0000026483,None,0.193,0.248,0.058,0.377,0.0,0
FRD_00000143,CUST_00000805,TXN_0000076278,None,0.292,0.333,0.012,0.686,0.006,0
FRD_00000144,CUST_00000753,TXN_0000071307,None,0.248,0.298,0.265,0.349,0.015,0
FRD_00000145,CUST_00000401,TXN_0000037996,None,0.156,0.314,0.034,0.073,0.104,0
FRD_00000146,CUST_00000961,TXN_0000091036,None,0.195,0.27,0.011,0.395,0.0,0
FRD_00000147,CUST_00000741,TXN_0000070250,None,0.165,0.214,0.003,0.345,0.017,0
FRD_00000148,CUST_00000731,TXN_0000069216,Velocity / Rapid Drain Attack,0.369,0.97,0.019,0.028,0.094,1
FRD_00000149,CUST_00000419,TXN_0000039673,None,0.095,0.074,0.012,0.174,0.118,0
FRD_00000150,CUST_00000405,TXN_0000038360,None,0.171,0.346,0.084,0.08,0.066,0
FRD_00000151,CUST_00000635,TXN_0000060115,None,0.173,0.184,0.265,0.215,0.007,0
FRD_00000152,CUST_00000416,TXN_0000039345,None,0.128,0.305,0.001,0.053,0.04,0
FRD_00000153,CUST_00000348,TXN_0000032979,None,0.155,0.27,0.144,0.011,0.143,0
FRD_00000154,CUST_00000806,TXN_0000076370,None,0.122,0.253,0.014,0.071,0.065,0
FRD_00000155,CUST_00000009,TXN_0000000803,None,0.217,0.209,0.103,0.488,0.008,0
FRD_00000156,CUST_00000595,TXN_0000056356,None,0.25,0.325,0.026,0.314,0.261,0
FRD_00000157,CUST_00000870,TXN_0000082405,None,0.142,0.251,0.203,0.032,0.029,0
FRD_00000158,CUST_00000475,TXN_0000044992,None,0.162,0.196,0.21,0.206,0.0,0
FRD_00000159,CUST_00000507,TXN_0000047979,None,0.21,0.294,0.001,0.367,0.078,0
FRD_00000160,CUST_00000952,TXN_0000090130,None,0.084,0.151,0.057,0.071,0.011,0
FRD_00000161,CUST_00000242,TXN_0000022920,None,0.156,0.225,0.366,0.009,0.007,0
FRD_00000162,CUST_00000258,TXN_0000024389,None,0.083,0.199,0.028,0.002,0.037,0
FRD_00000163,CUST_00000494,TXN_0000046806,None,0.232,0.293,0.002,0.469,0.061,0
FRD_00000164,CUST_00000780,TXN_0000073908,None,0.159,0.173,0.347,0.116,0.0,0
FRD_00000165,CUST_00000358,TXN_0000033932,None,0.052,0.095,0.047,0.034,0.003,0
FRD_00000166,CUST_00000502,TXN_0000047542,None,0.175,0.154,0.054,0.442,0.0,0
FRD_00000167,CUST_00000074,TXN_0000006982,None,0.085,0.076,0.024,0.175,0.049,0
FRD_00000168,CUST_00000365,TXN_0000034578,None,0.148,0.213,0.014,0.274,0.009,0
FRD_00000169,CUST_00000705,TXN_0000066793,None,0.115,0.189,0.179,0.05,0.005,0
FRD_00000170,CUST_00000708,TXN_0000067045,None,0.133,0.103,0.037,0.344,0.016,0
FRD_00000171,CUST_00000971,TXN_0000091987,None,0.089,0.131,0.063,0.124,0.0,0
FRD_00000172,CUST_00000218,TXN_0000020684,None,0.153,0.181,0.024,0.336,0.004,0
FRD_00000173,CUST_00000681,TXN_0000064525,None,0.158,0.224,0.302,0.074,0.005,0
FRD_00000174,CUST_00000498,TXN_0000047155,None,0.085,0.17,0.033,0.076,0.0,0
FRD_00000175,CUST_00000307,TXN_0000029036,None,0.171,0.206,0.01,0.306,0.104,0
FRD_00000176,CUST_00000349,TXN_0000033061,None,0.252,0.259,0.03,0.622,0.001,0
FRD_00000177,CUST_00000475,TXN_0000045008,None,0.15,0.207,0.07,0.254,0.0,0
FRD_00000178,CUST_00000804,TXN_0000076124,None,0.257,0.158,0.045,0.718,0.066,0
FRD_00000179,CUST_00000522,TXN_0000049388,None,0.09,0.136,0.118,0.003,0.088,0
FRD_00000180,CUST_00000987,TXN_0000093470,None,0.191,0.283,0.253,0.166,0.0,0
FRD_00000181,CUST_00000177,TXN_0000016825,None,0.158,0.346,0.003,0.145,0.0,0
FRD_00000182,CUST_00000093,TXN_0000008761,None,0.169,0.342,0.049,0.114,0.055,0
FRD_00000183,CUST_00000069,TXN_0000006460,None,0.113,0.173,0.025,0.148,0.05,0
FRD_00000184,CUST_00000636,TXN_0000060297,None,0.071,0.161,0.009,0.05,0.002,0
FRD_00000185,CUST_00000874,TXN_0000082757,None,0.102,0.212,0.018,0.092,0.004,0
FRD_00000186,CUST_00000843,TXN_0000079860,None,0.102,0.245,0.001,0.064,0.0,0
FRD_00000187,CUST_00000285,TXN_0000026996,None,0.281,0.356,0.443,0.25,0.026,0
FRD_00000188,CUST_00000873,TXN_0000082681,None,0.181,0.115,0.142,0.276,0.215,0
FRD_00000189,CUST_00000254,TXN_0000024007,None,0.09,0.2,0.006,0.074,0.001,0
FRD_00000190,CUST_00000761,TXN_0000072101,None,0.081,0.114,0.031,0.128,0.013,0
FRD_00000191,CUST_00000449,TXN_0000042467,None,0.189,0.082,0.562,0.192,0.0,0
FRD_00000192,CUST_00000191,TXN_0000018079,None,0.073,0.058,0.136,0.104,0.0,0
FRD_00000193,CUST_00000356,TXN_0000033694,None,0.231,0.266,0.034,0.325,0.248,0
FRD_00000194,CUST_00000903,TXN_0000085491,None,0.165,0.132,0.008,0.441,0.034,0
FRD_00000195,CUST_00000828,TXN_0000078460,None,0.091,0.124,0.216,0.018,0.0,0
FRD_00000196,CUST_00000822,TXN_0000077887,None,0.094,0.173,0.055,0.088,0.0,0
FRD_00000197,CUST_00000027,TXN_0000002531,None,0.173,0.149,0.547,0.043,0.003,0
FRD_00000198,CUST_00000034,TXN_0000003138,None,0.23,0.274,0.15,0.415,0.0,0
FRD_00000199,CUST_00000884,TXN_0000083736,None,0.07,0.165,0.054,0.003,0.004,0
FRD_00000200,CUST_00000958,TXN_0000090740,None,0.118,0.214,0.211,0.003,0.003,0
FRD_00000201,CUST_00000171,TXN_0000016223,None,0.24,0.255,0.082,0.534,0.005,0
FRD_00000202,CUST_00000239,TXN_0000022653,None,0.128,0.204,0.018,0.193,0.022,0
FRD_00000203,CUST_00000966,TXN_0000091504,None,0.116,0.248,0.018,0.101,0.001,0
FRD_00000204,CUST_00000058,TXN_0000005489,None,0.059,0.07,0.002,0.103,0.042,0
FRD_00000205,CUST_00000163,TXN_0000015467,None,0.153,0.178,0.074,0.292,0.013,0
FRD_00000206,CUST_00000427,TXN_0000040458,None,0.105,0.066,0.189,0.176,0.003,0
FRD_00000207,CUST_00000172,TXN_0000016303,None,0.126,0.233,0.038,0.132,0.019,0
FRD_00000208,CUST_00000793,TXN_0000075131,Mule Account Activity,0.365,0.993,0.001,0.057,0.014,1
FRD_00000209,CUST_00000124,TXN_0000011759,None,0.234,0.313,0.105,0.296,0.149,0
FRD_00000210,CUST_00000805,TXN_0000076268,None,0.232,0.321,0.205,0.26,0.07,0
FRD_00000211,CUST_00000886,TXN_0000083894,None,0.212,0.213,0.217,0.36,0.02,0
FRD_00000212,CUST_00000776,TXN_0000073484,None,0.107,0.202,0.003,0.067,0.096,0
FRD_00000213,CUST_00000916,TXN_0000086754,None,0.167,0.272,0.099,0.199,0.012,0
FRD_00000214,CUST_00000169,TXN_0000016073,None,0.115,0.224,0.0,0.141,0.006,0
FRD_00000215,CUST_00000518,TXN_0000049092,None,0.2,0.118,0.038,0.595,0.011,0
FRD_00000216,CUST_00000284,TXN_0000026895,None,0.071,0.145,0.004,0.077,0.0,0
FRD_00000217,CUST_00000715,TXN_0000067759,None,0.173,0.095,0.135,0.379,0.092,0
FRD_00000218,CUST_00000563,TXN_0000053288,None,0.197,0.283,0.003,0.324,0.083,0
FRD_00000219,CUST_00000840,TXN_0000079591,None,0.138,0.188,0.026,0.267,0.0,0
FRD_00000220,CUST_00000808,TXN_0000076506,None,0.107,0.295,0.015,0.001,0.001,0
FRD_00000221,CUST_00000834,TXN_0000078986,None,0.128,0.189,0.02,0.211,0.027,0
FRD_00000222,CUST_00000872,TXN_0000082560,None,0.24,0.315,0.007,0.359,0.192,0
FRD_00000223,CUST_00000015,TXN_0000001414,None,0.113,0.13,0.282,0.038,0.008,0
FRD_00000224,CUST_00000888,TXN_0000084125,None,0.14,0.252,0.018,0.194,0.001,0
FRD_00000225,CUST_00000007,TXN_0000000573,None,0.124,0.055,0.075,0.355,0.005,0
FRD_00000226,CUST_00000208,TXN_0000019712,None,0.206,0.327,0.016,0.094,0.324,0
FRD_00000227,CUST_00000822,TXN_0000077911,None,0.134,0.218,0.005,0.228,0.0,0
FRD_00000228,CUST_00000197,TXN_0000018631,None,0.049,0.033,0.003,0.118,0.037,0
FRD_00000229,CUST_00000166,TXN_0000015737,None,0.074,0.139,0.007,0.057,0.05,0
FRD_00000230,CUST_00000779,TXN_0000073842,None,0.133,0.314,0.045,0.04,0.02,0
FRD_00000231,CUST_00000164,TXN_0000015531,None,0.083,0.211,0.025,0.002,0.019,0
FRD_00000232,CUST_00000914,TXN_0000086560,None,0.114,0.209,0.187,0.012,0.001,0
FRD_00000233,CUST_00000667,TXN_0000063202,None,0.1,0.185,0.078,0.08,0.0,0
FRD_00000234,CUST_00000139,TXN_0000013204,None,0.066,0.181,0.011,0.001,0.0,0
FRD_00000235,CUST_00000196,TXN_0000018572,None,0.231,0.31,0.143,0.376,0.001,0
FRD_00000236,CUST_00000546,TXN_0000051726,None,0.14,0.251,0.234,0.02,0.001,0
FRD_00000237,CUST_00000783,TXN_0000074185,None,0.152,0.125,0.379,0.127,0.002,0
FRD_00000238,CUST_00000335,TXN_0000031757,None,0.106,0.128,0.008,0.14,0.125,0
FRD_00000239,CUST_00000275,TXN_0000026025,None,0.187,0.136,0.024,0.438,0.127,0
FRD_00000240,CUST_00000819,TXN_0000077552,None,0.125,0.335,0.015,0.018,0.0,0
FRD_00000241,CUST_00000878,TXN_0000083189,None,0.051,0.069,0.102,0.009,0.023,0
FRD_00000242,CUST_00000065,TXN_0000006139,None,0.167,0.306,0.032,0.202,0.017,0
FRD_00000243,CUST_00000004,TXN_0000000343,None,0.071,0.171,0.007,0.01,0.037,0
FRD_00000244,CUST_00000989,TXN_0000093699,None,0.117,0.234,0.115,0.025,0.028,0
FRD_00000245,CUST_00000661,TXN_0000062643,None,0.146,0.236,0.0,0.226,0.035,0
FRD_00000246,CUST_00000578,TXN_0000054683,None,0.103,0.215,0.08,0.015,0.039,0
FRD_00000247,CUST_00000881,TXN_0000083455,None,0.208,0.2,0.176,0.41,0.0,0
FRD_00000248,CUST_00000045,TXN_0000004245,None,0.284,0.223,0.454,0.458,0.001,0
FRD_00000249,CUST_00000312,TXN_0000029562,None,0.098,0.09,0.006,0.256,0.004,0
FRD_00000250,CUST_00000807,TXN_0000076425,None,0.099,0.181,0.012,0.104,0.037,0
FRD_00000251,CUST_00000824,TXN_0000078100,None,0.166,0.225,0.005,0.337,0.008,0
FRD_00000252,CUST_00000323,TXN_0000030554,None,0.266,0.326,0.011,0.59,0.012,0
FRD_00000253,CUST_00000226,TXN_0000021437,None,0.201,0.252,0.065,0.399,0.001,0
FRD_00000254,CUST_00000936,TXN_0000088676,None,0.136,0.224,0.021,0.209,0.004,0
FRD_00000255,CUST_00000276,TXN_0000026140,None,0.247,0.251,0.446,0.28,0.0,0
FRD_00000256,CUST_00000969,TXN_0000091775,None,0.088,0.205,0.008,0.06,0.0,0
FRD_00000257,CUST_00000783,TXN_0000074174,None,0.08,0.105,0.016,0.159,0.001,0
FRD_00000258,CUST_00000025,TXN_0000002324,None,0.175,0.23,0.008,0.332,0.05,0
FRD_00000259,CUST_00000186,TXN_0000017663,None,0.082,0.052,0.021,0.236,0.001,0
FRD_00000260,CUST_00000986,TXN_0000093353,None,0.221,0.217,0.002,0.58,0.0,0
FRD_00000261,CUST_00000773,TXN_0000073196,None,0.129,0.118,0.0,0.344,0.008,0
FRD_00000262,CUST_00000643,TXN_0000060886,None,0.229,0.333,0.011,0.433,0.01,0
FRD_00000263,CUST_00000362,TXN_0000034306,None,0.135,0.351,0.009,0.032,0.011,0
FRD_00000264,CUST_00000223,TXN_0000021078,None,0.162,0.222,0.096,0.262,0.0,0
FRD_00000265,CUST_00000279,TXN_0000026345,None,0.185,0.357,0.161,0.102,0.013,0
FRD_00000266,CUST_00000629,TXN_0000059566,None,0.128,0.266,0.012,0.117,0.014,0
FRD_00000267,CUST_00000953,TXN_0000090227,None,0.173,0.357,0.096,0.099,0.022,0
FRD_00000268,CUST_00000970,TXN_0000091894,None,0.104,0.278,0.001,0.02,0.008,0
FRD_00000269,CUST_00000574,TXN_0000054379,None,0.121,0.126,0.064,0.205,0.065,0
FRD_00000270,CUST_00000725,TXN_0000068668,None,0.194,0.218,0.023,0.448,0.008,0
FRD_00000271,CUST_00000007,TXN_0000000586,None,0.197,0.223,0.002,0.473,0.001,0
FRD_00000272,CUST_00000030,TXN_0000002789,None,0.172,0.252,0.001,0.331,0.004,0
FRD_00000273,CUST_00000558,TXN_0000052841,None,0.098,0.213,0.016,0.077,0.005,0
FRD_00000274,CUST_00000987,TXN_0000093503,None,0.135,0.215,0.034,0.104,0.135,0
FRD_00000275,CUST_00000099,TXN_0000009376,None,0.164,0.22,0.043,0.296,0.02,0
FRD_00000276,CUST_00000682,TXN_0000064634,None,0.235,0.238,0.005,0.601,0.0,0
FRD_00000277,CUST_00000459,TXN_0000043515,UPI Phishing / Collect Request Fraud,0.375,0.902,0.082,0.171,0.0,1
FRD_00000278,CUST_00000283,TXN_0000026804,None,0.117,0.18,0.01,0.21,0.0,0
FRD_00000279,CUST_00000150,TXN_0000014238,None,0.104,0.119,0.0,0.056,0.244,0
FRD_00000280,CUST_00000455,TXN_0000043079,None,0.209,0.106,0.15,0.567,0.002,0
